Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
RI236	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	6/25/2016				Lost	6/25/2016	HAND HELD TOOLS	REAMER	
RI237	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	6/25/2016				Lost	6/25/2016	HAND HELD TOOLS	REAMER	
RI238	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	6/25/2016				Lost	6/25/2016	HAND HELD TOOLS	REAMER	
RI271	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI272	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI273	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI274	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI275	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI276	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	9/16/2016					9/16/2016	HAND HELD TOOLS	REAMER	
RI277	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	10/6/2016				Lost	10/6/2016	HAND HELD TOOLS	REAMER	
RI278	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	10/6/2016				Lost	10/6/2016	HAND HELD TOOLS	REAMER	
RI279	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1027.0 (AMPAM) (Responsible: Unassigned)	10/6/2016				Lost	7/7/2016	HAND HELD TOOLS	REAMER	
RI280	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	12/5/2017					10/6/2016	HAND HELD TOOLS	REAMER	
RI281	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	12/5/2017					10/6/2016	HAND HELD TOOLS	REAMER	
RI282	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	12/5/2017				Lost	10/6/2016	HAND HELD TOOLS	REAMER	
RI285	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									10/14/2016	HAND HELD TOOLS	REAMER	
RI286	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									10/14/2016	HAND HELD TOOLS	REAMER	
RI287	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									10/14/2016	HAND HELD TOOLS	REAMER	
RI299	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1111.0 (AMPAM) (Responsible: Unassigned)	8/10/2017					10/31/2016	HAND HELD TOOLS	REAMER	
RI302	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1111.0 (AMPAM) (Responsible: Unassigned)	11/14/2017					10/31/2016	HAND HELD TOOLS	REAMER	
RI311	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1111.0 (AMPAM) (Responsible: Unassigned)	8/10/2017					1/17/2017	HAND HELD TOOLS	REAMER	
RI312	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									1/17/2017	HAND HELD TOOLS	REAMER	
RI313	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									1/17/2017	HAND HELD TOOLS	REAMER	
RI314	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									1/17/2017	HAND HELD TOOLS	REAMER	
RI343	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	4/20/2017				Lost	4/20/2017	HAND HELD TOOLS	REAMER	
RI344	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	4/20/2017				Lost	4/20/2017	HAND HELD TOOLS	REAMER	
RI345	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	4/20/2017				Lost	4/20/2017	HAND HELD TOOLS	REAMER	
RI362	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									7/14/2017	HAND HELD TOOLS	REAMER	
RI372	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	8/7/2017					8/7/2017	HAND HELD TOOLS	REAMER	
RI373	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	8/7/2017					8/7/2017	HAND HELD TOOLS	REAMER	
RI374	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	8/11/2017					8/11/2017	HAND HELD TOOLS	REAMER	
RI375	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1123.0 (AMPAM) (Responsible: Unassigned)	8/11/2017					8/11/2017	HAND HELD TOOLS	REAMER	
RI381	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)									8/30/2017	HAND HELD TOOLS	REAMER	
RI384	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1191.0 (AMPAM) (Responsible: Unassigned)	8/30/2017				Lost	8/30/2017	HAND HELD TOOLS	REAMER	
RI385	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	3/27/2018					8/30/2017	HAND HELD TOOLS	REAMER	
RI386	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	3/27/2018					8/30/2017	HAND HELD TOOLS	REAMER	
RI387	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1191.0 (AMPAM) (Responsible: Unassigned)	8/30/2017				Lost	8/30/2017	HAND HELD TOOLS	REAMER	
RI388	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	3/27/2018					8/30/2017	HAND HELD TOOLS	REAMER	
RI390	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1192 finish (AMPAM) (Responsible: Unassigned)	11/5/2018					9/5/2017	HAND HELD TOOLS	REAMER	
RI401	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	10/5/2017					10/5/2017	HAND HELD TOOLS	REAMER	
RI403	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	10/5/2017					10/5/2017	HAND HELD TOOLS	REAMER	
RI404	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1178.0 (AMPAM) (Responsible: Unassigned)	10/13/2017					10/13/2017	HAND HELD TOOLS	REAMER	
RI405	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1178.0 (AMPAM) (Responsible: Unassigned)	10/13/2017					10/13/2017	HAND HELD TOOLS	REAMER	
RI406	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1178.0 (AMPAM) (Responsible: Unassigned)	10/13/2017					10/13/2017	HAND HELD TOOLS	REAMER	
RI408	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					10/19/2017	HAND HELD TOOLS	REAMER	
RI409	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					10/19/2017	HAND HELD TOOLS	REAMER	
RI410	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					10/19/2017	HAND HELD TOOLS	REAMER	
RI411	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					10/19/2017	HAND HELD TOOLS	REAMER	
RI412	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	10/19/2017					10/19/2017	HAND HELD TOOLS	REAMER	
RI431	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	1/31/2018					1/31/2018	HAND HELD TOOLS	REAMER	
RI432	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	1/31/2018					1/31/2018	HAND HELD TOOLS	REAMER	
RI434	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/1/2018					2/1/2018	HAND HELD TOOLS	REAMER	
RI435	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/1/2018					2/1/2018	HAND HELD TOOLS	REAMER	
RI436	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/1/2018				Lost	2/1/2018	HAND HELD TOOLS	REAMER	
RI437	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/1/2018					2/1/2018	HAND HELD TOOLS	REAMER	
RI438	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018				Lost	2/13/2018	HAND HELD TOOLS	REAMER	
RI439	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI440	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI441	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI442	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018				Lost	2/13/2018	HAND HELD TOOLS	REAMER	
RI443	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI444	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI445	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI446	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI447	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI448	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI449	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI450	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/13/2018					2/13/2018	HAND HELD TOOLS	REAMER	
RI452	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	2/14/2018					2/14/2018	HAND HELD TOOLS	REAMER	
RI453	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	2/14/2018					2/14/2018	HAND HELD TOOLS	REAMER	
RI454	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	2/14/2018					2/14/2018	HAND HELD TOOLS	REAMER	
RI455	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	2/21/2018					2/21/2018	HAND HELD TOOLS	REAMER	
RI456	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	2/21/2018					2/21/2018	HAND HELD TOOLS	REAMER	
RI457	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	2/21/2018					2/21/2018	HAND HELD TOOLS	REAMER	
RI458	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	2/21/2018					2/21/2018	HAND HELD TOOLS	REAMER	
RI460	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	3/6/2018					3/6/2018	HAND HELD TOOLS	REAMER	
RI461	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	3/6/2018				Lost	3/6/2018	HAND HELD TOOLS	REAMER	
RI462	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	3/6/2018					3/6/2018	HAND HELD TOOLS	REAMER	
RI463	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	3/6/2018					3/6/2018	HAND HELD TOOLS	REAMER	
RI466	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	3/27/2018					3/27/2018	HAND HELD TOOLS	REAMER	
RI467	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	3/28/2018					3/28/2018	HAND HELD TOOLS	REAMER	
RI468	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	3/28/2018					3/28/2018	HAND HELD TOOLS	REAMER	
RI469	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	4/2/2018					4/2/2018	HAND HELD TOOLS	REAMER	
RI470	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	4/2/2018					4/2/2018	HAND HELD TOOLS	REAMER	
RI471	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	4/2/2018					4/2/2018	HAND HELD TOOLS	REAMER	
RI496	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	5/29/2018					5/29/2018	HAND HELD TOOLS	REAMER	
RI497	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	5/29/2018					5/29/2018	HAND HELD TOOLS	REAMER	
RI498	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	5/29/2018					5/29/2018	HAND HELD TOOLS	REAMER	
RI501	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	7/6/2018					7/6/2018	HAND HELD TOOLS	REAMER	
RI502	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	7/6/2018					7/6/2018	HAND HELD TOOLS	REAMER	
RI503	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	7/12/2018					7/12/2018	HAND HELD TOOLS	REAMER	
RI504	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	7/12/2018					7/12/2018	HAND HELD TOOLS	REAMER	
RI505	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	7/12/2018					7/12/2018	HAND HELD TOOLS	REAMER	
RI507	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	7/27/2018					7/27/2018	HAND HELD TOOLS	REAMER	
RI508	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	7/27/2018					7/27/2018	HAND HELD TOOLS	REAMER	
RI509	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	7/27/2018					7/27/2018	HAND HELD TOOLS	REAMER	
RI510	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/6/2018					8/6/2018	HAND HELD TOOLS	REAMER	
RI511	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/6/2018					8/6/2018	HAND HELD TOOLS	REAMER	
RI512	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/6/2018					8/6/2018	HAND HELD TOOLS	REAMER	
RI513	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					8/8/2018	HAND HELD TOOLS	REAMER	
RI514	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					8/8/2018	HAND HELD TOOLS	REAMER	
RI515	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					8/8/2018	HAND HELD TOOLS	REAMER	
RI516	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					8/8/2018	HAND HELD TOOLS	REAMER	
RI518	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/27/2018					8/27/2018	HAND HELD TOOLS	REAMER	
RI519	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/27/2018					8/27/2018	HAND HELD TOOLS	REAMER	
RI520	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/27/2018					8/27/2018	HAND HELD TOOLS	REAMER	
RI521	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/27/2018					8/27/2018	HAND HELD TOOLS	REAMER	
RI522	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	8/27/2018					8/27/2018	HAND HELD TOOLS	REAMER	
RI523	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	9/13/2018					9/13/2018	HAND HELD TOOLS	REAMER	
RI524	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	9/13/2018					9/13/2018	HAND HELD TOOLS	REAMER	
RI525	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	9/21/2018					9/21/2018	HAND HELD TOOLS	REAMER	
RI526	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	9/21/2018					9/21/2018	HAND HELD TOOLS	REAMER	
RI527	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	9/21/2018					9/21/2018	HAND HELD TOOLS	REAMER	
RI528	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
RI529	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
RI530	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
RI531	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
RI532	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
RI538	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	10/5/2018					10/5/2018	HAND HELD TOOLS	REAMER	
RI539	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	10/5/2018					10/5/2018	HAND HELD TOOLS	REAMER	
RI540	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/8/2018					10/8/2018	HAND HELD TOOLS	REAMER	
RI541	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/8/2018					10/8/2018	HAND HELD TOOLS	REAMER	
RI542	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/8/2018					10/8/2018	HAND HELD TOOLS	REAMER	
RI543	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/11/2019					10/3/2018	HAND HELD TOOLS	REAMER	
RI551	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					10/31/2018	HAND HELD TOOLS	REAMER	
RI552	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
RI553	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
RI554	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
RI555	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
RI556	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
RI557	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
RI558	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
RI559	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
RI560	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1200.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
RI561	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
RI562	REAMER 1/2"-2"		RIDGID	227.S		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
