Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
IO678	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					2/22/2019	HAND HELD TOOLS	REAMER	
IO679	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					2/22/2019	HAND HELD TOOLS	REAMER	
IO680	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					2/22/2019	HAND HELD TOOLS	REAMER	
IO681	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					2/22/2019	HAND HELD TOOLS	REAMER	
IR01	INFR-RED TEMP GUN		MILWAUKEE	2267-20H		AMPAM	SOCAL (AMPAM)			DAVID SERVICE VAN (AMPAM) (Responsible: Unassigned)	6/11/2018					5/30/2018	MISC	MOISTURE METER	
IR02	INFR-RED TEMP GUN		MILWAUKEE	2267-20H		AMPAM	SOCAL (AMPAM)			JOSEPH JONES (AMPAM) (Responsible: Unassigned)	2/14/2019					5/30/2018	MISC	MOISTURE METER	
JA001	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/10/2019					6/28/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1003	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD1613-00468	AMPAM	SOCAL (AMPAM)			1072.0 (AMPAM) (Responsible: Unassigned)	1/25/2017				Lost	7/23/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1005	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	12/12/2018					2/21/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1007	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD1611-00164	AMPAM	SOCAL (AMPAM)									7/9/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1009	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD161100024	AMPAM	SOCAL (AMPAM)									9/29/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1010	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700145	AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	5/4/2017				Lost	12/2/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1011	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700146	AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					12/2/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1012	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700137	AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	5/4/2018					12/2/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1013	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700244	AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	11/11/2017					12/15/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1014	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700206	AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	10/31/2018					12/15/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1015	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700222	AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/29/2018				Lost	12/15/2016	POWER TOOLS	RIGHT ANGLE DRILL	
